EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,EducationField,Education,HireDate,BusinessTravel,DistanceFromHome_km,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,Attrition,AttritionDate
EMP00001,41,Male,Single,Sales,Manager,3,Marketing,Bachelor,2022-11-06,Travel_Rarely,22,6160,12,1,22,3,1,0,2,1,2,3,1,4,2,4,4,No,No,
EMP00002,36,Female,Married,Sales,Manager,3,Life Sciences,Master,2021-05-03,Travel_Rarely,2,7406,22,2,13,5,2,1,2,3,3,3,3,3,1,2,3,No,No,
EMP00003,43,Male,Single,Research & Development,Research Scientist,4,Life Sciences,Bachelor,2023-01-25,Travel_Rarely,5,11282,19,0,20,3,1,0,2,1,5,3,4,2,3,3,3,No,No,
EMP00004,51,Male,Married,Research & Development,Research Scientist,4,Technical Degree,Bachelor,2014-06-13,Travel_Frequently,9,12878,21,0,29,12,7,5,7,5,2,2,2,2,3,2,3,Yes,No,
EMP00005,35,Female,Single,Research & Development,Manager,1,Other,College,2021-05-12,Travel_Rarely,6,2983,13,1,16,5,2,1,2,4,6,2,4,3,1,3,4,No,No,
EMP00006,35,Male,Married,Sales,Sales Representative,4,Marketing,Below College,2014-10-02,Travel_Rarely,19,9583,21,1,14,11,3,2,5,2,1,1,3,3,1,3,3,Yes,No,
EMP00007,51,Female,Divorced,Sales,Sales Executive,1,Marketing,Master,2017-12-29,Travel_Rarely,3,3141,17,1,32,8,3,2,2,3,4,3,2,3,4,3,3,No,No,
EMP00008,44,Male,Married,Research & Development,Research Scientist,4,Technical Degree,Below College,2023-06-08,Travel_Rarely,4,12960,14,0,23,3,1,0,2,2,1,1,1,4,1,3,3,No,Yes,2025-11-29
EMP00009,33,Female,Married,Research & Development,Research Scientist,3,Life Sciences,College,2025-11-02,Travel_Frequently,1,8761,22,1,11,0,0,0,0,3,4,3,4,3,3,2,3,No,No,
EMP00010,42,Male,Single,Sales,Sales Executive,2,Life Sciences,Master,2023-10-17,Travel_Rarely,7,5583,22,2,24,2,1,0,2,2,1,3,2,4,4,3,3,Yes,Yes,2024-12-08
EMP00011,33,Male,Single,Research & Development,Research Director,2,Life Sciences,Bachelor,2020-03-02,Travel_Rarely,2,3921,11,1,15,6,3,1,5,2,2,3,2,1,3,2,3,Yes,Yes,2024-03-23
EMP00012,33,Male,Married,Sales,Sales Executive,1,Marketing,Doctor,2019-05-06,Travel_Rarely,1,2554,18,0,14,7,5,1,3,3,4,1,3,4,1,3,3,No,No,
EMP00013,39,Male,Married,Human Resources,Human Resources,1,Human Resources,Doctor,2018-12-15,Travel_Rarely,6,2671,23,2,18,7,5,0,5,2,2,3,3,4,3,2,3,No,No,
EMP00014,20,Female,Married,Research & Development,Laboratory Technician,1,Technical Degree,College,2026-05-16,Travel_Rarely,5,3432,22,1,2,0,0,0,0,1,5,3,2,1,3,2,3,No,No,
EMP00015,21,Female,Single,Research & Development,Research Director,4,Other,Below College,2026-05-18,Travel_Frequently,1,12354,14,1,0,0,0,0,0,2,2,4,3,2,4,3,3,No,No,
EMP00016,32,Male,Single,Research & Development,Research Director,2,Life Sciences,Master,2020-04-09,Travel_Rarely,8,6970,21,0,10,6,3,0,1,1,6,1,3,3,3,1,3,No,No,
EMP00017,28,Male,Single,Research & Development,Laboratory Technician,1,Other,Bachelor,2026-04-29,Travel_Rarely,7,3339,16,1,9,0,0,0,0,1,0,3,1,1,1,3,3,Yes,Yes,2026-07-21
EMP00018,40,Female,Divorced,Sales,Sales Representative,4,Marketing,Below College,2016-09-26,Travel_Rarely,1,12070,17,1,19,9,3,1,4,1,4,2,3,4,1,3,3,No,No,
EMP00019,29,Female,Single,Sales,Manager,1,Technical Degree,Master,2021-10-16,Non-Travel,4,2789,18,0,10,4,4,1,3,2,5,3,3,4,2,3,3,Yes,No,
EMP00020,24,Male,Married,Research & Development,Research Scientist,4,Other,Below College,2024-12-13,Non-Travel,9,12190,20,0,3,1,0,0,0,2,3,3,1,2,4,2,3,Yes,No,
